,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
73,3463713115,3227975250,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716,True,126,3.849007073967572e-05,44.72222222222222
74,1090360654,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,True,743,3.426538125189961e-05,44.99730820995962
75,3350650146,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,True,1338,4.237382406636383e-05,44.997757847533634
76,1090360654,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,True,778,3.667933038889059e-05,45.0
77,3350650150,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,True,407,0.00011153500468694262,44.85995085995086
78,3227975251,3350650146,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2478,-122.9938,False,1151,2.3297189706618892e-06,45.0
79,3227975250,3463713115,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6319,-79.3716,False,54,1.516473738695961e-05,44.907407407407405
80,3227975251,1178985642,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2068,-122.4851,False,24,0.0,45.0
81,2919736882,3227975251,6327,Shaw Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716,True,407,0.00035597787529793797,44.894348894348894
82,3473289373,3227975251,852,TELUS Communications Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,True,20,0.0,45.0
83,1674006569,3227975250,852,TELUS Communications Inc.,49.3397,-123.1912,395152,CloudPBX,43.6319,-79.3716,True,106,0.0003580014132450829,44.990566037735846
84,3227975250,2919736882,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408,False,233,0.00018284650991072865,44.99141630901288
85,3227975251,1268517701,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104,False,389,0.0,45.0
86,1268517701,3227975251,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,True,331,5.468141242088283e-07,45.0
87,1268517701,3227975250,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,True,315,3.847904140657747e-05,45.0
