,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
109,215430723,1654599251,7018,"AT&T Services, Inc.",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,745
110,411891757,1654599250,40788,Start Communications,42.9888,-82.3592,395766,CloudPBX,40.7432,-75.2242,206
111,1654599251,3626900266,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.47,-73.6686,268
112,3480447027,1654599250,11478,Openface Inc.,45.4805,-73.5554,395766,CloudPBX,40.7432,-75.2242,314
113,410719962,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,395766,CloudPBX,40.7432,-75.2242,150
114,1677535485,1654599251,812,Rogers Communications Canada Inc.,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,69
115,3507478250,1654599251,13768,Cogeco Peer 1,43.6021,-79.5402,395766,CloudPBX,40.7432,-75.2242,111
116,409640138,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,395766,CloudPBX,40.7432,-75.2242,152
117,2886637142,1654599251,7018,"AT&T Services, Inc.",39.8227,-86.145,395766,CloudPBX,40.7432,-75.2242,34
118,409640138,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,395766,CloudPBX,40.7432,-75.2242,113
119,2393257217,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,20
120,1210458660,1654599250,7992,Cogeco Cable,42.9062,-82.11,395766,CloudPBX,40.7432,-75.2242,207
121,215430723,1654599250,7018,"AT&T Services, Inc.",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,732
122,405133426,1654599251,5769,Videotron Telecom Ltee,45.5394,-73.6513,395766,CloudPBX,40.7432,-75.2242,258
123,1654599251,409640138,395766,CloudPBX,40.7432,-75.2242,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,8
124,1745054491,1654599251,7018,"AT&T Services, Inc.",39.7132,-86.2617,395766,CloudPBX,40.7432,-75.2242,163
125,410720570,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804,395766,CloudPBX,40.7432,-75.2242,9
126,1663736670,1654599250,7018,"AT&T Services, Inc.",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,88
127,1632556726,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,395766,CloudPBX,40.7432,-75.2242,72
128,2730633589,1654599251,7018,"AT&T Services, Inc.",39.8512,-86.2651,395766,CloudPBX,40.7432,-75.2242,139
129,1616866354,1654599250,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,395766,CloudPBX,40.7432,-75.2242,1155
130,1826039003,1654599250,7018,"AT&T Services, Inc.",39.7838,-86.0477,395766,CloudPBX,40.7432,-75.2242,176
131,1632558126,1654599251,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,395766,CloudPBX,40.7432,-75.2242,170
132,2913448341,1654599251,7922,"Comcast Cable Communications, LLC",41.8811,-87.8786,395766,CloudPBX,40.7432,-75.2242,203
133,2393314888,1654599250,855,Bell Canada,47.5194,-52.8122,395766,CloudPBX,40.7432,-75.2242,48
134,2913448341,1654599250,7922,"Comcast Cable Communications, LLC",41.8811,-87.8786,395766,CloudPBX,40.7432,-75.2242,196
135,2913448637,1654599250,7922,"Comcast Cable Communications, LLC",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,76
136,1654599251,3480447027,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.4805,-73.5554,29
137,1616866354,1654599251,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,395766,CloudPBX,40.7432,-75.2242,1504
138,1749006169,1654599251,7018,"AT&T Services, Inc.",39.9738,-86.1765,395766,CloudPBX,40.7432,-75.2242,49
139,1654599251,215430723,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",37.751,-97.822,33
140,1210458660,1654599251,7992,Cogeco Cable,42.9062,-82.11,395766,CloudPBX,40.7432,-75.2242,200
141,1654599250,3480447026,395766,CloudPBX,40.7432,-75.2242,11478,Openface Inc.,45.4805,-73.5554,25
142,851532189,1654599250,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443,395766,CloudPBX,40.7432,-75.2242,138
143,2913448637,1654599251,7922,"Comcast Cable Communications, LLC",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,63
144,855009785,1654599251,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242,86
145,2393257102,1654599250,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,75
146,855009785,1654599250,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,395766,CloudPBX,40.7432,-75.2242,87
147,855405977,1654599251,7922,"Comcast Cable Communications, LLC",41.7195,-86.2064,395766,CloudPBX,40.7432,-75.2242,122
148,1654599251,2393257380,395766,CloudPBX,40.7432,-75.2242,855,Bell Canada,47.5334,-52.7595,38
149,1654599250,2730633589,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",39.8512,-86.2651,4
150,2393257102,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,71
151,1654599251,1668866301,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",42.5038,-83.4764,1
152,851532189,1654599251,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443,395766,CloudPBX,40.7432,-75.2242,171
153,1229012093,1654599250,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832,395766,CloudPBX,40.7432,-75.2242,26
154,1654599250,215430723,395766,CloudPBX,40.7432,-75.2242,7018,"AT&T Services, Inc.",37.751,-97.822,25
155,1676003536,1654599251,812,Rogers Communications Canada Inc.,43.6572,-79.3783,395766,CloudPBX,40.7432,-75.2242,40
156,1654599250,1675902784,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.8582,-79.3985,25
157,2913301853,1654599251,7922,"Comcast Cable Communications, LLC",37.751,-97.822,395766,CloudPBX,40.7432,-75.2242,84
158,1179661323,1654599251,5769,Videotron Telecom Ltee,45.5354,-73.6061,395766,CloudPBX,40.7432,-75.2242,22
159,1745054491,1654599250,7018,"AT&T Services, Inc.",39.7132,-86.2617,395766,CloudPBX,40.7432,-75.2242,144
160,1676003536,1654599250,812,Rogers Communications Canada Inc.,43.6572,-79.3783,395766,CloudPBX,40.7432,-75.2242,30
161,1654599250,3638379076,395766,CloudPBX,40.7432,-75.2242,7992,Cogeco Cable,42.9888,-82.3592,81
162,1654599251,1675902784,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.8582,-79.3985,35
163,1654599251,1616866354,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,139
164,1654599251,3640363090,395766,CloudPBX,40.7432,-75.2242,14007,Skyway West,49.2788,-123.1139,40
165,1654599251,1229012093,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832,30
166,2904575889,1654599250,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,29
167,2904575889,1654599251,812,Rogers Communications Canada Inc.,47.5986,-52.6926,395766,CloudPBX,40.7432,-75.2242,30
168,1654599251,855010549,395766,CloudPBX,40.7432,-75.2242,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,34
169,855187221,1654599251,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,395766,CloudPBX,40.7432,-75.2242,281
170,1654599250,1676003536,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.6572,-79.3783,6
171,2914149279,1654599251,5769,Videotron Telecom Ltee,45.504,-73.5747,395766,CloudPBX,40.7432,-75.2242,13
172,2393257380,1654599251,855,Bell Canada,47.5334,-52.7595,395766,CloudPBX,40.7432,-75.2242,129
173,1632558126,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,395766,CloudPBX,40.7432,-75.2242,150
