,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,count
72,3463715872,3227975251,852,TELUS Communications Inc.,49.3615,-123.2627,395152,CloudPBX,43.6319,-79.3716,422
73,3463713115,3227975250,852,TELUS Communications Inc.,43.6319,-79.3716,395152,CloudPBX,43.6319,-79.3716,126
74,1090360654,3227975250,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,743
75,3350650146,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,1338
76,1090360654,3227975251,19171,Stargate Connections Inc.,49.2866,-123.1158,395152,CloudPBX,43.6319,-79.3716,778
77,3350650150,3227975251,19171,Stargate Connections Inc.,49.2478,-122.9938,395152,CloudPBX,43.6319,-79.3716,407
78,3227975251,3350650146,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2478,-122.9938,1151
79,3227975250,3463713115,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6319,-79.3716,54
80,3227975251,1178985642,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2068,-122.4851,24
81,2919736882,3227975251,6327,Shaw Communications Inc.,49.299,-123.1408,395152,CloudPBX,43.6319,-79.3716,407
82,3473289373,3227975251,852,TELUS Communications Inc.,49.2666,-123.1976,395152,CloudPBX,43.6319,-79.3716,20
83,1674006569,3227975250,852,TELUS Communications Inc.,49.3397,-123.1912,395152,CloudPBX,43.6319,-79.3716,106
84,3227975250,2919736882,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.299,-123.1408,233
85,3227975251,1268517701,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104,389
86,1268517701,3227975251,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,331
87,1268517701,3227975250,852,TELUS Communications Inc.,49.2492,-123.1104,395152,CloudPBX,43.6319,-79.3716,315
88,3227975251,1168009517,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.7878,-79.1564,29
89,1090361019,3227975250,19171,Stargate Connections Inc.,49.1707,-122.7326,395152,CloudPBX,43.6319,-79.3716,74
90,1653560604,3227975251,19171,Stargate Connections Inc.,49.2475,-123.12100000000001,395152,CloudPBX,43.6319,-79.3716,484
91,3227975251,1674006569,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.3397,-123.1912,35
92,3227975251,1823229904,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2475,-123.12100000000001,301
93,3227975250,1268517701,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2492,-123.1104,341
94,1674010043,3227975250,852,TELUS Communications Inc.,49.2275,-122.9301,395152,CloudPBX,43.6319,-79.3716,53
95,3345303600,3227975251,14007,Skyway West,43.623000000000005,-79.3936,395152,CloudPBX,43.6319,-79.3716,6781
96,3227975251,3345303600,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623000000000005,-79.3936,3450
97,3345303600,3227975250,14007,Skyway West,43.623000000000005,-79.3936,395152,CloudPBX,43.6319,-79.3716,6611
98,3227975250,3345303600,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,43.623000000000005,-79.3936,3311
99,3227975250,1676935419,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943,745
100,1676935419,3227975250,812,Rogers Communications Canada Inc.,43.0614,-80.9943,395152,CloudPBX,43.6319,-79.3716,260
101,2892906962,3227975250,15290,Allstream Corp.,43.6655,-79.4204,395152,CloudPBX,43.6319,-79.3716,140
102,3227975251,1676935419,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943,763
103,1806931219,3227975250,5645,"TekSavvy Solutions, Inc.",43.6784,-79.2941,395152,CloudPBX,43.6319,-79.3716,19
104,3227975251,3332465478,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.4914,-113.4802,329
105,3227975250,3091461651,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1285,-122.6236,370
106,3640368282,3227975251,14007,Skyway West,48.4167,-123.365,395152,CloudPBX,43.6319,-79.3716,273
107,3227975251,1090360938,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.1707,-122.7326,667
108,3455714514,3227975250,852,TELUS Communications Inc.,49.076,-121.9883,395152,CloudPBX,43.6319,-79.3716,30
109,3227975250,1268596475,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.0384,-122.3485,14
110,3640368787,3227975251,14007,Skyway West,49.2807,-123.0397,395152,CloudPBX,43.6319,-79.3716,995
111,3227975250,3640368787,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2807,-123.0397,811
112,3227975250,3332465478,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.4914,-113.4802,347
113,3640368282,3227975250,14007,Skyway West,48.4167,-123.365,395152,CloudPBX,43.6319,-79.3716,288
114,1677282775,3227975250,812,Rogers Communications Canada Inc.,44.0433,-79.4912,395152,CloudPBX,43.6319,-79.3716,47
115,3227975250,3626900266,395152,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.47,-73.6686,55
116,1178711303,3227975251,6327,Shaw Communications Inc.,49.6511,-112.8351,395152,CloudPBX,43.6319,-79.3716,117
117,3227975250,407950571,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2788,-123.1139,20
118,3640368787,3227975250,14007,Skyway West,49.2807,-123.0397,395152,CloudPBX,43.6319,-79.3716,1056
119,3227975250,1677282775,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.0433,-79.4912,87
120,3512424079,3227975251,852,TELUS Communications Inc.,53.585,-113.5526,395152,CloudPBX,43.6319,-79.3716,1809
121,1208104646,3227975250,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,41
122,3227975250,3455714514,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.076,-121.9883,16
123,3492161874,3227975250,852,TELUS Communications Inc.,51.0242,-114.1004,395152,CloudPBX,43.6319,-79.3716,270
124,3227975250,3492161874,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,51.0242,-114.1004,421
125,1244849474,3227975250,14007,Skyway West,49.316,-123.0576,395152,CloudPBX,43.6319,-79.3716,417
126,3227975250,1244849474,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.316,-123.0576,322
127,3227975250,412233259,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,44.9001,-76.2494,37
128,3512424079,3227975250,852,TELUS Communications Inc.,53.585,-113.5526,395152,CloudPBX,43.6319,-79.3716,1785
129,3227975251,3091461651,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.1285,-122.6236,354
130,3227975251,3640368787,395152,CloudPBX,43.6319,-79.3716,14007,Skyway West,49.2807,-123.0397,815
131,3227975251,3475125993,395152,CloudPBX,43.6319,-79.3716,6171,WorldGate,53.4154,-113.4178,307
132,3236611778,3227975250,14007,Skyway West,49.222,-123.0683,395152,CloudPBX,43.6319,-79.3716,303
133,1208104646,3227975251,6327,Shaw Communications Inc.,49.0997,-122.6526,395152,CloudPBX,43.6319,-79.3716,37
134,845316559,3227975250,852,TELUS Communications Inc.,49.0423,-122.2835,395152,CloudPBX,43.6319,-79.3716,33
135,3227975251,1150482625,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,51.0419,-114.2,2
136,3497430254,3227975251,19171,Stargate Connections Inc.,49.2788,-123.1139,395152,CloudPBX,43.6319,-79.3716,1032
137,3227975251,3492161874,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,51.0242,-114.1004,469
