,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long,send_A,count,mean_qualfun,mean_mos
65,3227975507,1676535575,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.5986,-52.6926,False,79,0.008478190139473173,44.75949367088607
66,3227975506,1676535575,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.5986,-52.6926,False,63,0.007078504298123634,44.58730158730159
67,3227975506,2904576785,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.5986,-52.6926,False,97,0.000271953775366118,44.98969072164948
68,3227975506,2393257407,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5334,-52.7595,False,132,2.5328361275080702e-05,45.0
69,405972613,3227975506,40788,Start Communications,42.7898,-80.204,393755,CloudPBX,43.6319,-79.3716,True,6,1.6260162601626018e-05,45.0
70,412232415,3227975507,7992,Cogeco Cable,42.95,-82.1167,393755,CloudPBX,43.6319,-79.3716,True,463,0.0032646875245144155,44.81209503239741
71,3225808180,3227975506,7992,Cogeco Cable,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716,True,1689,0.00029023273337844095,44.97335701598579
72,2917629161,3227975507,22652,Fibrenoire Inc.,43.6784,-79.2941,393755,CloudPBX,43.6319,-79.3716,True,111,0.01628706804255095,44.81981981981982
73,1168513348,3227975507,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,393755,CloudPBX,43.6319,-79.3716,True,433,0.007700953449866759,44.45958429561201
74,3227975507,1676539840,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.6333,-52.85,False,1557,0.0008112422690241493,44.75529865125241
75,3227975507,2393314975,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5194,-52.8122,False,639,4.129017637868509e-05,44.99530516431925
76,1210478642,3227975507,7992,Cogeco Cable,43.3512,-79.78399999999999,393755,CloudPBX,43.6319,-79.3716,True,1189,0.0001314371799069156,44.952901597981494
77,3227975507,2392989210,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5986,-52.6926,False,72,0.007808285569034885,44.55555555555556
78,755177258,3227975506,40788,Start Communications,42.9856,-81.1821,393755,CloudPBX,43.6319,-79.3716,True,206,0.006497257420823196,44.15533980582524
79,3227975506,3638379600,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9888,-82.3592,False,1120,0.00012125945348548782,44.98392857142857
80,2393249330,3227975506,855,Bell Canada,47.5124,-52.6729,393755,CloudPBX,43.6319,-79.3716,True,555,6.918683952426744e-05,44.994594594594595
81,3227975506,3225808180,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.6319,-79.3716,False,899,0.00011601165641079784,44.98442714126808
82,3227975506,3514831954,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5167,-52.7833,False,232,0.0005465187854786274,44.96551724137931
83,3227975506,1676539840,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,47.6333,-52.85,False,1468,0.0013022944160322005,44.76839237057221
84,3227975506,417208698,393755,CloudPBX,43.6319,-79.3716,11260,EastLink,45.2,-64.1167,False,1449,0.0003412289164207708,44.86749482401656
85,3225808180,3227975507,7992,Cogeco Cable,43.6319,-79.3716,393755,CloudPBX,43.6319,-79.3716,True,1340,0.00018143742370778894,44.971641791044775
86,846445455,3227975507,7992,Cogeco Cable,42.9578,-82.2777,393755,CloudPBX,43.6319,-79.3716,True,1050,0.0001993332438184702,44.86190476190476
87,3227975507,1217118531,393755,CloudPBX,43.6319,-79.3716,20453,Rogers Communications Canada Inc.,43.6404,-79.3995,False,52,0.00046083168994405326,45.0
88,1676935419,3227975507,812,Rogers Communications Canada Inc.,43.0614,-80.9943,393755,CloudPBX,43.6319,-79.3716,True,1018,0.0008405620224583294,44.94204322200393
89,3638379143,3227975507,7992,Cogeco Cable,43.3799,-79.7668,393755,CloudPBX,43.6319,-79.3716,True,2493,0.00046943893880917827,44.97954271961492
90,412233259,3227975506,7992,Cogeco Cable,44.9001,-76.2494,393755,CloudPBX,43.6319,-79.3716,True,235,3.590541072974686e-05,44.99574468085106
91,3227975507,3626900266,393755,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.47,-73.6686,False,315,0.00014756375668009493,44.958730158730155
92,1082947564,3227975506,40788,Start Communications,43.6572,-79.3783,393755,CloudPBX,43.6319,-79.3716,True,303,0.02173877196700584,43.726072607260726
93,3227975506,2393257259,393755,CloudPBX,43.6319,-79.3716,855,Bell Canada,47.5334,-52.7595,False,281,0.00011810625479310001,44.99644128113879
94,3227975507,3638379143,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3799,-79.7668,False,977,0.00021861777135303754,44.97338792221085
95,1210458902,3227975506,7992,Cogeco Cable,42.9998,-82.3926,393755,CloudPBX,43.6319,-79.3716,True,1426,0.0002516919900946002,44.97826086956522
96,3227975506,1210458902,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9998,-82.3926,False,903,7.707771980879394e-05,44.990033222591364
97,3345303600,3227975506,14007,Skyway West,43.623000000000005,-79.3936,393755,CloudPBX,43.6319,-79.3716,True,2517,0.0003552654253722935,44.7580452920143
98,755177258,3227975507,40788,Start Communications,42.9856,-81.1821,393755,CloudPBX,43.6319,-79.3716,True,234,0.008482178222044893,44.03846153846154
99,1676935419,3227975506,812,Rogers Communications Canada Inc.,43.0614,-80.9943,393755,CloudPBX,43.6319,-79.3716,True,961,0.004630720903606777,44.91363163371488
100,3227975506,1676935419,393755,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0614,-80.9943,False,240,0.0007328948830075128,44.81666666666667
101,3638379143,3227975506,7992,Cogeco Cable,43.3799,-79.7668,393755,CloudPBX,43.6319,-79.3716,True,2311,0.0002970426588262221,44.97836434443963
102,3227975506,3638379143,393755,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3799,-79.7668,False,977,0.0001442457269357215,44.98874104401228
103,2479012700,3227975507,15128,Comwave Telecom Inc.,44.0168,-78.3995,393755,CloudPBX,43.6319,-79.3716,True,2480,0.0003629901640506507,44.92701612903226
104,3227975507,1082947488,393755,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.8404,-79.0251,False,259,0.004807321819140648,42.818532818532816
105,846445455,3227975506,7992,Cogeco Cable,42.9578,-82.2777,393755,CloudPBX,43.6319,-79.3716,True,1002,0.00019287138656424215,44.868263473053894
106,3227975506,1168513348,393755,CloudPBX,43.6319,-79.3716,36493,FIBERNETICS CORPORATION,43.5637,-79.7202,False,546,0.006831602610756166,44.46153846153846
107,3227975507,2479012700,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,44.0168,-78.3995,False,1801,0.0009289934798940575,44.67018323153803
108,755171943,3227975506,40788,Start Communications,42.9915,-81.3402,393755,CloudPBX,43.6319,-79.3716,True,154,8.810173919539913e-05,45.0
109,3227975506,2479012700,393755,CloudPBX,43.6319,-79.3716,15128,Comwave Telecom Inc.,44.0168,-78.3995,False,1796,0.0010216712505940694,44.67538975501114
