,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
50953,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.3222,-123.0834
50967,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.6319,-79.3716
52221,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,50.1122,-120.7942
52475,395152,CloudPBX,43.6319,-79.3716,28573,CLARO S.A.,-22.8751,-43.2775
56502,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,49.2667,-122.7833
57005,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,46.7749,-71.3344
57512,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.299,-123.1408
57878,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2779,-123.0908
64562,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",37.751,-97.822
71674,395152,CloudPBX,43.6319,-79.3716,19171,Stargate Connections Inc.,49.2397,-123.0407
74901,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,48.4993,-123.4003
76718,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.4617,-113.371
77869,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,53.2667,-113.5333
77879,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2769,-122.9761
78209,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.8625,-119.5833
78388,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2302,-122.9952
93599,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,43.3512,-79.784
98851,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.7597,-81.1762
103426,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2603,-123.146
110160,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2478,-122.9938
113883,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2175,-123.038
116700,395152,CloudPBX,43.6319,-79.3716,13768,Cogeco Peer 1,49.2344,-123.1451
121323,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",41.6045,-87.9956
123113,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.3333,-82.0
124625,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6572,-79.3783
126281,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.518299999999996,-73.5023
143268,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.8333,-79.5
145995,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,53.5428,-113.4974
170451,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.2055,-79.9004
185108,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.2666,-123.1976
198375,395152,CloudPBX,43.6319,-79.3716,25668,Cipherkey Exchange Corp.,49.35,-123.0679
214796,395152,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,49.1285,-122.6236
220435,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.25,-123.1333
236474,395152,CloudPBX,43.6319,-79.3716,11478,Openface Inc.,45.4805,-73.5554
251306,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.8928,-119.4852
264114,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.076,-121.9883
274548,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",26.1489,-80.1257
277077,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,48.4777,-123.3658
282125,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9998,-82.3926
282972,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.9578,-82.2777
297652,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,43.6655,-79.4204
305419,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.8113,-79.193
438420,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.812,-119.5076
464463,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,49.2196,-122.6164
497869,395152,CloudPBX,43.6319,-79.3716,36522,BELL MOBILITY INC.,53.55,-113.5
574070,395152,CloudPBX,43.6319,-79.3716,11814,DISTRIBUTEL COMMUNICATIONS LTD.,43.648,-79.4177
630773,395152,CloudPBX,43.6319,-79.3716,7992,Cogeco Cable,42.3167,-82.9
