,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long
4969,3345303600,1654599251,14007,Skyway West,199.101.72.48,43.623,-79.3936,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
4971,1654599251,3345303600,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,14007,Skyway West,199.101.72.48,43.623,-79.3936
5126,2392989210,1654599251,855,Bell Canada,142.162.30.26,47.5986,-52.6926,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
5441,2393257058,1654599250,855,Bell Canada,142.166.52.98,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
5457,1676918269,1654599251,812,Rogers Communications Canada Inc.,99.243.189.253,43.0443,-81.2391,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
5503,1654599250,2904575889,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,812,Rogers Communications Canada Inc.,173.32.79.145,47.5986,-52.6926
5580,1210508163,1654599251,7992,Cogeco Cable,72.38.227.131,42.9888,-82.3592,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
5609,2393314965,1654599250,855,Bell Canada,142.167.22.149,47.5194,-52.8122,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
5820,1612181439,1654599250,5769,Videotron Telecom Ltee,96.23.239.191,45.4667,-73.8833,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
5852,855010549,1654599251,7922,"Comcast Cable Communications, LLC",50.246.108.245,38.9057,-76.9783,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
5857,1611994918,1654599251,5769,Videotron Telecom Ltee,96.21.23.38,46.8287,-71.334,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
5858,1654599251,1611994918,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,5769,Videotron Telecom Ltee,96.21.23.38,46.8287,-71.334
5860,2393098834,1654599250,855,Bell Canada,142.163.202.82,47.5124,-52.6729,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
5979,2393098834,1654599251,855,Bell Canada,142.163.202.82,47.5124,-52.6729,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
6028,1675902784,1654599250,812,Rogers Communications Canada Inc.,99.228.63.64,43.8582,-79.3985,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
6083,1654599250,2393314965,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.167.22.149,47.5194,-52.8122
6105,1677535485,1654599250,812,Rogers Communications Canada Inc.,99.253.40.253,47.5334,-52.7595,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
6394,1654599250,3514831954,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,209.128.20.82,47.5167,-52.7833
6579,1654599251,1096686281,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,577,Bell Canada,65.94.26.201,46.7749,-71.3344
6591,3480447027,1654599251,11478,Openface Inc.,207.115.104.51,45.4805,-73.5554,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
6718,3626900266,1654599251,11478,Openface Inc.,216.46.27.42,45.47,-73.6686,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
6773,1826039003,1654599251,7018,"AT&T Services, Inc.",108.215.36.219,39.7838,-86.0477,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
6871,3345303600,1654599250,14007,Skyway West,199.101.72.48,43.623,-79.3936,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
6872,1654599250,3345303600,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,14007,Skyway West,199.101.72.48,43.623,-79.3936
6877,3638379076,1654599250,7992,Cogeco Cable,216.221.66.68,42.9888,-82.3592,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
6945,2394021867,1654599250,855,Bell Canada,142.177.223.235,45.0691,-64.4696,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
7038,3507478250,1654599250,13768,Cogeco Peer 1,209.15.222.234,43.6021,-79.5402,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
7057,855010549,1654599250,7922,"Comcast Cable Communications, LLC",50.246.108.245,38.9057,-76.9783,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
7471,1675902784,1654599251,812,Rogers Communications Canada Inc.,99.228.63.64,43.8582,-79.3985,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
7492,2886637142,1654599250,7018,"AT&T Services, Inc.",172.14.150.86,39.8227,-86.145,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
7549,1654599250,2393098834,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.163.202.82,47.5124,-52.6729
7552,1632556726,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",97.78.214.182,39.7851,-86.1665,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
7657,1745809577,1654599251,7018,"AT&T Services, Inc.",104.14.240.169,39.8686,-86.1003,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
7736,2393249330,1654599251,855,Bell Canada,142.166.22.50,47.5124,-52.6729,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
7824,1654599251,2393098834,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,855,Bell Canada,142.163.202.82,47.5124,-52.6729
7852,1654599250,2394021867,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,855,Bell Canada,142.177.223.235,45.0691,-64.4696
7932,1676918269,1654599250,812,Rogers Communications Canada Inc.,99.243.189.253,43.0443,-81.2391,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
8577,1255890618,1654599250,33363,"BRIGHT HOUSE NETWORKS, LLC",74.219.94.186,39.7851,-86.1665,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
8719,1745809577,1654599250,7018,"AT&T Services, Inc.",104.14.240.169,39.8686,-86.1003,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
9227,1654599251,3638379076,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,7992,Cogeco Cable,216.221.66.68,42.9888,-82.3592
9237,1179661323,1654599250,5769,Videotron Telecom Ltee,70.80.52.11,45.5354,-73.6061,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
9290,1654599250,1818172010,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,7018,"AT&T Services, Inc.",108.95.26.106,42.5038,-83.4764
9582,855187221,1654599250,7922,"Comcast Cable Communications, LLC",50.249.31.21,39.3656,-76.6199,395766,CloudPBX,98.159.46.82,40.7432,-75.2242
9761,1654599250,1611994918,395766,CloudPBX,98.159.46.82,40.7432,-75.2242,5769,Videotron Telecom Ltee,96.21.23.38,46.8287,-71.334
10014,1654599251,3480447026,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,11478,Openface Inc.,207.115.104.50,45.4805,-73.5554
10167,215430723,1654599251,7018,"AT&T Services, Inc.",12.215.54.67,37.751,-97.822,395766,CloudPBX,98.159.46.83,40.7432,-75.2242
