,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
763977,812,Rogers Communications Canada Inc.,44.3572,-79.6929,395766,CloudPBX,40.7432,-75.2242
763981,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,44.6087,-79.4207
764403,22773,Cox Communications Inc.,33.5076,-112.0583,395766,CloudPBX,40.7432,-75.2242
767037,395766,CloudPBX,40.7432,-75.2242,7992,Cogeco Cable,44.1665,-77.4037
771244,15128,Comwave Telecom Inc.,43.0233,-81.1643,395766,CloudPBX,40.7432,-75.2242
802589,577,Bell Canada,46.7589,-71.298,395766,CloudPBX,40.7432,-75.2242
808418,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,46.7589,-71.298
814932,7018,"AT&T Services, Inc.",39.1604,-119.8618,395766,CloudPBX,40.7432,-75.2242
874555,20473,"Choopa, LLC",51.5142,-0.0931,395766,CloudPBX,40.7432,-75.2242
876202,577,Bell Canada,43.9581,-78.8972,395766,CloudPBX,40.7432,-75.2242
877488,395766,CloudPBX,40.7432,-75.2242,577,Bell Canada,43.9581,-78.8972
911790,6327,Shaw Communications Inc.,49.0787,-121.6098,395766,CloudPBX,40.7432,-75.2242
911791,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.0787,-121.6098
913009,14007,Skyway West,49.2788,-123.1139,395766,CloudPBX,40.7432,-75.2242
939538,36522,BELL MOBILITY INC.,43.6736,-79.4035,395766,CloudPBX,40.7432,-75.2242
966896,14007,Skyway West,49.2807,-123.0397,395766,CloudPBX,40.7432,-75.2242
966920,19171,Stargate Connections Inc.,49.2666,-123.1976,395766,CloudPBX,40.7432,-75.2242
966923,6327,Shaw Communications Inc.,53.5428,-113.4974,395766,CloudPBX,40.7432,-75.2242
966933,852,TELUS Communications Inc.,53.585,-113.5526,395766,CloudPBX,40.7432,-75.2242
967038,395766,CloudPBX,40.7432,-75.2242,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167
967061,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,53.7168,-113.2187
967072,30500,Wolfpaw Data Centres Inc,55.3333,-115.4167,395766,CloudPBX,40.7432,-75.2242
967174,395766,CloudPBX,40.7432,-75.2242,54527,Astute Hosting Inc.,49.2866,-123.1158
967211,6327,Shaw Communications Inc.,49.1661,-122.5792,395766,CloudPBX,40.7432,-75.2242
967257,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2767,-123.13
967263,852,TELUS Communications Inc.,49.2779,-123.0908,395766,CloudPBX,40.7432,-75.2242
967275,6171,WorldGate,53.4914,-113.4802,395766,CloudPBX,40.7432,-75.2242
967280,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2833,-123.1298
967318,14007,Skyway West,49.222,-123.0683,395766,CloudPBX,40.7432,-75.2242
967337,19171,Stargate Connections Inc.,49.2866,-123.1158,395766,CloudPBX,40.7432,-75.2242
967363,852,TELUS Communications Inc.,51.0242,-114.1004,395766,CloudPBX,40.7432,-75.2242
967411,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2666,-123.1976
967441,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2397,-123.0407
967534,395766,CloudPBX,40.7432,-75.2242,15102,WiBand Communications,53.4179,-113.5785
967563,6327,Shaw Communications Inc.,49.2833,-123.1298,395766,CloudPBX,40.7432,-75.2242
967592,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2779,-123.0908
967612,19171,Stargate Connections Inc.,49.2475,-123.121,395766,CloudPBX,40.7432,-75.2242
967680,6327,Shaw Communications Inc.,49.2475,-123.121,395766,CloudPBX,40.7432,-75.2242
967813,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2795,-123.0667
967815,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.316,-123.0576
967845,395766,CloudPBX,40.7432,-75.2242,40788,Start Communications,43.623,-79.3936
967861,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2475,-123.121
967868,852,TELUS Communications Inc.,49.2795,-123.0667,395766,CloudPBX,40.7432,-75.2242
967888,852,TELUS Communications Inc.,49.2492,-123.1104,395766,CloudPBX,40.7432,-75.2242
967940,852,TELUS Communications Inc.,49.0791,-122.7553,395766,CloudPBX,40.7432,-75.2242
967947,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.262,-123.0923
967970,14007,Skyway West,49.316,-123.0576,395766,CloudPBX,40.7432,-75.2242
968009,852,TELUS Communications Inc.,49.3615,-123.2627,395766,CloudPBX,40.7432,-75.2242
968026,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.2327,-123.0917
968057,19171,Stargate Connections Inc.,49.2397,-123.0407,395766,CloudPBX,40.7432,-75.2242
968060,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.2436,-122.7865
968126,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2478,-122.9938
968203,852,TELUS Communications Inc.,49.2475,-123.121,395766,CloudPBX,40.7432,-75.2242
968218,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,49.8928,-119.4852
968223,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2788,-123.1139
968242,395766,CloudPBX,40.7432,-75.2242,812,Rogers Communications Canada Inc.,43.0614,-80.9943
968265,812,Rogers Communications Canada Inc.,43.0614,-80.9943,395766,CloudPBX,40.7432,-75.2242
968310,395766,CloudPBX,40.7432,-75.2242,6171,WorldGate,53.4914,-113.4802
968384,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2866,-123.1158
968401,6327,Shaw Communications Inc.,49.299,-123.1408,395766,CloudPBX,40.7432,-75.2242
968441,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,53.4609,-113.4519
968562,812,Rogers Communications Canada Inc.,43.8669,-79.4414,395766,CloudPBX,40.7432,-75.2242
968569,395766,CloudPBX,40.7432,-75.2242,6327,Shaw Communications Inc.,49.6511,-112.8351
968625,19171,Stargate Connections Inc.,49.2478,-122.9938,395766,CloudPBX,40.7432,-75.2242
968645,395766,CloudPBX,40.7432,-75.2242,852,TELUS Communications Inc.,51.0242,-114.1004
968648,395766,CloudPBX,40.7432,-75.2242,19171,Stargate Connections Inc.,49.2795,-123.0667
