,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg
78152263,2018-05-23,1654599250,405974021,395766,CloudPBX,40788,Start Communications
78232410,2018-05-24,3227975506,405974021,393755,CloudPBX,40788,Start Communications
78232799,2018-05-24,3227975507,405974021,393755,CloudPBX,40788,Start Communications
64491922,2018-01-01,3227975507,405974225,393755,CloudPBX,40788,Start Communications
64492706,2018-01-01,3227975506,405974225,393755,CloudPBX,40788,Start Communications
78719707,2018-05-31,3227975506,405974299,393755,CloudPBX,40788,Start Communications
78745059,2018-05-31,3227975507,405974299,393755,CloudPBX,40788,Start Communications
77735887,2018-05-16,3227975507,405974330,393755,CloudPBX,40788,Start Communications
77746175,2018-05-16,3227975506,405974330,393755,CloudPBX,40788,Start Communications
78128132,2018-05-23,3227975251,405974330,395152,CloudPBX,40788,Start Communications
78136639,2018-05-23,3227975250,405974330,395152,CloudPBX,40788,Start Communications
78144006,2018-05-23,1654599250,405974330,395766,CloudPBX,40788,Start Communications
78161226,2018-05-23,1654599251,405974330,395766,CloudPBX,40788,Start Communications
65139973,2018-01-10,3227975506,405974384,393755,CloudPBX,40788,Start Communications
65155265,2018-01-10,3227975507,405974384,393755,CloudPBX,40788,Start Communications
76631905,2018-05-04,3227975506,405974387,393755,CloudPBX,40788,Start Communications
76652927,2018-05-05,3227975507,405974387,393755,CloudPBX,40788,Start Communications
78126438,2018-05-23,1654599251,405974387,395766,CloudPBX,40788,Start Communications
78133721,2018-05-23,3227975251,405974387,395152,CloudPBX,40788,Start Communications
78170886,2018-05-23,1654599250,405974387,395766,CloudPBX,40788,Start Communications
78175174,2018-05-23,3227975250,405974387,395152,CloudPBX,40788,Start Communications
77829309,2018-05-17,3227975507,405974442,393755,CloudPBX,40788,Start Communications
77846290,2018-05-17,3227975506,405974442,393755,CloudPBX,40788,Start Communications
78134793,2018-05-23,3227975251,405974442,395152,CloudPBX,40788,Start Communications
78169491,2018-05-23,1654599250,405974442,395766,CloudPBX,40788,Start Communications
78182200,2018-05-23,1654599251,405974442,395766,CloudPBX,40788,Start Communications
76724452,2018-05-07,3227975506,405974558,393755,CloudPBX,40788,Start Communications
76727626,2018-05-07,3227975507,405974558,393755,CloudPBX,40788,Start Communications
73533057,2018-04-05,3227975507,405974810,393755,CloudPBX,40788,Start Communications
73536298,2018-04-05,3227975506,405974810,393755,CloudPBX,40788,Start Communications
78533965,2018-05-29,3227975507,405974844,393755,CloudPBX,40788,Start Communications
78539829,2018-05-29,3227975506,405974844,393755,CloudPBX,40788,Start Communications
78060510,2018-05-22,3227975506,405974866,393755,CloudPBX,40788,Start Communications
