,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
11069,3227975250,407950571,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6327,Shaw Communications Inc.,24.80.212.235,49.2788,-123.1139,False
11429,3640368787,3227975250,14007,Skyway West,216.251.158.147,49.2807,-123.0397,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
11583,3227975250,1677282775,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,812,Rogers Communications Canada Inc.,99.249.77.215,44.0433,-79.4912,False
11618,3512424079,3227975251,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
11625,1208104646,3227975250,6327,Shaw Communications Inc.,72.2.54.198,49.0997,-122.6526,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
11628,3227975250,3455714514,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,205.250.4.210,49.076,-121.9883,False
11775,3492161874,3227975250,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
11781,3227975250,3492161874,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,False
12206,1244849474,3227975250,14007,Skyway West,74.50.229.66,49.316,-123.0576,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
12211,3227975250,1244849474,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,14007,Skyway West,74.50.229.66,49.316,-123.0576,False
12353,3227975250,412233259,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,7992,Cogeco Cable,24.146.46.43,44.9001,-76.2494,False
12581,3512424079,3227975250,852,TELUS Communications Inc.,209.91.86.143,53.585,-113.5526,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
12590,3227975251,3091461651,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6327,Shaw Communications Inc.,184.67.246.19,49.1285,-122.6236,False
12627,3227975251,3640368787,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,14007,Skyway West,216.251.158.147,49.2807,-123.0397,False
12991,3227975251,3475125993,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6171,WorldGate,207.34.54.233,53.4154,-113.4178,False
13872,3236611778,3227975250,14007,Skyway West,192.234.198.194,49.222,-123.0683,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
14326,1208104646,3227975251,6327,Shaw Communications Inc.,72.2.54.198,49.0997,-122.6526,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
14416,845316559,3227975250,852,TELUS Communications Inc.,50.98.129.207,49.0423,-122.2835,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
14521,3227975251,1150482625,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6327,Shaw Communications Inc.,68.146.248.193,51.0419,-114.2,False
15464,3497430254,3227975251,19171,Stargate Connections Inc.,208.118.140.238,49.2788,-123.1139,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
16194,3227975251,3492161874,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,False
16287,1150482625,3227975251,6327,Shaw Communications Inc.,68.146.248.193,51.0419,-114.2,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
17083,3492161874,3227975251,852,TELUS Communications Inc.,208.38.41.82,51.0242,-114.1004,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
17494,1077449335,3227975250,15102,WiBand Communications,64.56.146.119,53.4179,-113.5785,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
17513,1676935419,3227975251,812,Rogers Communications Canada Inc.,99.244.0.251,43.0614,-80.9943,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
17593,3227975251,845316559,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,50.98.129.207,49.0423,-122.2835,False
17695,3236611778,3227975251,14007,Skyway West,192.234.198.194,49.222,-123.0683,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
