"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-01 16:33:51","2018-05-31 12:13:43","192.102.255.81",449
"2018-05-01 01:39:18","2018-05-31 19:05:16","192.102.254.82",447
"2018-05-01 01:01:10","2018-05-31 07:51:43","192.102.254.82",444
"2018-05-01 14:00:47","2018-05-31 19:15:32","192.102.255.83",441
"2018-05-01 15:13:52","2018-05-31 19:00:47","192.102.254.82",438
"2018-05-01 11:38:58","2018-05-31 18:40:16","192.102.255.83",432
"2018-05-01 16:10:47","2018-05-31 19:25:52","192.102.254.82",429
"2018-05-05 08:31:19","2018-05-31 18:52:32","192.102.255.80",428
"2018-05-07 09:59:28","2018-05-11 20:06:39","192.102.255.83",418
"2018-05-01 11:01:10","2018-05-31 19:19:44","192.102.255.82",414
"2018-05-01 14:00:42","2018-05-31 19:11:55","192.102.255.80",414
"2018-05-01 13:25:43","2018-05-31 17:28:54","192.102.255.83",410
"2018-05-01 13:57:01","2018-05-31 19:07:34","192.102.255.80",409
"2018-05-01 15:05:55","2018-05-31 19:28:27","192.102.254.83",403
"2018-05-01 00:12:36","2018-05-31 19:07:02","192.102.254.83",403
"2018-05-07 09:28:07","2018-05-31 17:27:43","192.102.255.80",402
"2018-05-04 13:01:35","2018-05-30 15:43:50","192.102.255.83",398
"2018-05-09 16:24:36","2018-05-31 18:53:22","192.102.254.83",395
"2018-05-01 11:32:59","2018-05-31 19:17:13","98.159.46.82",390
"2018-05-01 14:13:52","2018-05-31 19:26:16","192.102.255.80",388
"2018-05-01 15:10:01","2018-05-31 18:05:47","192.102.254.82",387
"2018-05-01 13:37:03","2018-05-31 18:24:57","192.102.255.83",386
"2018-05-14 10:25:05","2018-05-22 20:34:51","192.102.255.80",385
"2018-05-01 11:03:13","2018-05-31 18:31:46","192.102.255.83",384
"2018-05-01 16:25:28","2018-05-31 18:09:40","192.102.254.82",379
"2018-05-01 13:20:25","2018-05-31 19:13:49","192.102.255.80",379
"2018-05-22 14:07:36","2018-05-31 19:03:49","98.159.46.83",373
"2018-05-01 12:24:16","2018-05-14 16:06:03","192.102.255.82",372
"2018-05-01 16:15:31","2018-05-31 19:02:00","192.102.254.82",364
"2018-05-01 00:49:43","2018-05-31 17:00:54","192.102.254.83",350
"2018-05-01 13:26:22","2018-05-31 19:05:41","192.102.255.83",350
"2018-05-01 15:44:32","2018-05-31 17:48:16","192.102.254.82",348
"2018-05-01 12:44:06","2018-05-31 19:27:24","98.159.46.83",348
"2018-05-01 16:17:05","2018-05-31 16:56:38","192.102.254.83",344
"2018-05-01 13:31:28","2018-05-31 19:17:39","192.102.255.82",342
"2018-05-01 09:54:02","2018-05-24 20:30:55","192.102.255.80",340
"2018-05-07 13:36:40","2018-05-31 19:03:02","192.102.255.82",339
"2018-05-01 16:05:25","2018-05-31 18:41:06","192.102.254.83",339
"2018-05-01 10:57:14","2018-05-04 18:36:56","192.102.255.82",338
"2018-05-01 12:55:28","2018-05-31 18:02:28","192.102.255.83",338
"2018-05-01 13:05:37","2018-05-31 18:29:42","192.102.255.83",335
"2018-05-01 18:21:39","2018-05-29 22:59:12","192.102.254.83",334
"2018-05-01 12:57:16","2018-05-31 19:06:26","192.102.255.82",333
"2018-05-01 16:25:38","2018-05-31 18:34:41","192.102.254.82",330
"2018-05-01 13:01:26","2018-05-31 19:02:57","192.102.255.82",327
"2018-05-01 12:21:31","2018-05-31 18:31:37","192.102.255.82",323
"2018-05-01 10:59:44","2018-05-31 18:16:50","98.159.46.83",321
"2018-05-01 16:01:10","2018-05-10 19:23:06","192.102.254.82",321
"2018-05-01 12:55:52","2018-05-31 14:53:46","192.102.255.80",320
"2018-05-01 16:15:07","2018-05-31 18:48:35","192.102.254.82",315
"2018-05-01 12:25:58","2018-05-31 18:08:22","192.102.255.80",314
"2018-05-01 13:27:42","2018-05-31 17:07:13","192.102.255.80",314
"2018-05-01 16:13:43","2018-05-31 18:58:57","192.102.254.83",313
"2018-05-22 18:02:20","2018-05-31 19:20:21","192.102.254.83",308
