"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-01 21:00:41","2018-05-31 19:26:58","216.221.66.68",4522,13064.8000
"2018-01-23 14:38:12","2018-05-31 16:38:50","209.15.238.156",4330,12969.8333
"2018-01-02 16:19:57","2018-05-31 18:42:50","70.36.53.42",3179,12942.2000
"2018-01-02 16:33:02","2018-05-31 19:11:59","99.199.100.126",6655,12476.4167
"2018-01-02 14:04:46","2018-05-31 19:03:01","199.126.242.188",5243,12462.8167
"2018-01-02 17:25:06","2018-05-31 19:15:13","75.156.11.69",5274,12381.6833
"2018-01-02 17:42:10","2018-05-31 18:26:43","184.71.155.78",2174,12214.4000
"2018-01-02 14:18:21","2018-05-31 19:24:57","99.226.179.169",1842,12030.6000
"2018-01-02 17:00:25","2018-05-31 19:05:05","207.216.134.165",2642,11997.0333
"2018-01-02 18:25:38","2018-05-31 19:08:44","207.81.181.34",2421,11842.5667
"2018-01-03 13:54:55","2018-05-31 19:13:47","69.166.25.68",4705,11656.0500
"2018-01-02 15:15:23","2018-05-31 19:23:54","174.1.117.28",1507,11580.5667
"2018-01-02 19:56:20","2018-05-31 18:12:50","108.172.71.208",2976,11506.8500
"2018-01-02 17:17:28","2018-05-31 18:29:34","184.67.252.174",1760,11363.9833
"2018-01-02 13:42:13","2018-05-31 18:35:22","72.38.144.162",2538,11126.4333
"2018-01-02 13:00:04","2018-05-31 14:09:47","209.15.238.163",2362,10882.8167
"2018-01-02 14:14:31","2018-05-31 19:01:30","184.70.188.14",1947,10874.2333
"2018-03-08 14:21:55","2018-05-31 19:31:36","209.15.238.176",2725,10863.4333
"2018-03-27 15:47:13","2018-05-31 19:30:09","99.239.65.60",4559,10737.7500
"2018-01-02 15:14:59","2018-05-31 19:27:15","216.221.66.42",3187,10501.4000
"2018-01-02 15:02:44","2018-05-31 19:05:48","142.177.223.235",2833,10396.1333
"2018-03-27 19:04:17","2018-05-31 19:30:54","96.95.108.50",5650,10202.1000
"2018-01-01 17:27:00","2018-05-31 19:20:39","198.161.99.70",4735,10145.5000
"2018-03-22 17:25:09","2018-05-31 18:50:38","209.15.238.224",2933,9977.5167
"2018-01-02 18:22:33","2018-05-31 16:26:51","206.116.15.170",2948,9847.1333
"2018-01-02 13:28:04","2018-05-31 19:25:30","24.146.42.223",4518,9824.8167
"2018-01-02 16:49:28","2018-02-23 00:51:37","70.70.24.154",5218,9725.1167
"2018-01-02 19:22:48","2018-05-31 17:47:47","108.172.136.70",874,9604.4167
"2018-01-01 19:18:21","2018-05-31 19:16:42","162.255.114.63",4431,9435.8167
"2018-01-02 18:27:50","2018-05-28 15:34:23","173.231.124.173",909,9298.3500
"2018-01-02 14:58:19","2018-05-31 19:26:06","64.253.154.157",4911,9215.8000
"2018-01-03 15:55:44","2018-05-31 15:59:02","50.64.106.181",333,9183.9833
"2018-01-02 13:06:55","2018-02-16 20:21:13","24.146.56.234",3629,9167.0833
"2018-01-02 17:00:30","2018-05-31 18:33:18","207.115.104.51",2101,9108.2333
"2018-01-01 12:37:08","2018-05-31 16:50:13","199.167.109.157",1443,8935.3167
"2018-01-02 16:41:06","2018-05-31 18:20:11","98.143.94.29",3594,8921.6500
"2018-01-02 11:46:28","2018-05-31 19:21:28","64.140.119.236",3769,8845.1167
"2018-01-02 16:59:15","2018-05-31 19:22:11","209.89.8.6",3384,8839.7833
"2018-01-02 15:42:06","2018-03-16 15:04:28","174.7.41.49",5492,8819.7167
"2018-01-02 16:43:14","2018-05-31 18:17:32","45.17.116.80",2712,8803.0500
"2018-01-02 13:26:16","2018-05-31 19:05:27","74.116.219.181",7972,8771.8000
"2018-01-02 16:53:08","2018-05-31 19:18:13","208.38.41.82",3625,8688.3667
"2018-01-02 16:40:56","2018-05-31 18:55:47","174.7.65.181",1502,8425.6000
"2018-01-02 14:06:36","2018-05-31 19:14:24","64.140.118.52",3667,8333.4833
"2018-01-02 14:45:34","2018-05-31 18:43:53","24.80.212.235",1293,8207.1500
"2018-01-03 10:37:48","2018-05-31 16:48:43","72.143.100.78",3079,8159.7167
"2018-01-02 17:00:16","2018-02-26 22:33:15","173.180.80.233",4836,8006.3000
"2018-01-02 13:49:47","2018-05-31 18:23:29","72.38.189.230",3183,7971.3500
"2018-01-02 14:47:01","2018-05-31 19:19:02","24.146.42.151",4029,7887.7833
"2018-01-02 14:02:00","2018-03-27 15:21:45","99.243.180.113",2877,7854.4833
"2018-01-24 21:03:29","2018-05-31 18:36:25","209.15.238.38",1210,7766.1000
"2018-01-02 17:11:08","2018-03-16 20:48:33","108.172.155.154",1139,7623.0000
"2018-01-02 17:48:22","2018-05-31 18:42:57","74.95.42.69",629,7477.4500
"2018-04-24 17:02:25","2018-05-31 19:27:49","192.69.237.52",3870,7416.2500
"2018-01-02 14:21:28","2018-05-31 19:27:36","192.186.87.166",2411,7414.6667
"2018-01-01 14:38:17","2018-05-31 15:00:10","99.51.158.208",1363,7365.7667
"2018-01-02 16:16:40","2018-03-21 22:13:24","209.121.88.60",3179,7354.4833
"2018-01-02 15:57:16","2018-02-22 22:19:34","184.71.185.122",2178,7345.6833
"2018-01-02 21:25:30","2018-05-31 18:54:35","96.48.216.170",1242,7313.5333
"2018-01-11 20:44:54","2018-05-31 18:46:26","207.216.41.227",1544,7166.0667
"2018-01-02 13:51:09","2018-05-31 19:09:08","45.78.190.6",3308,7144.3833
"2018-01-01 00:05:28","2018-03-08 09:17:05","107.161.14.18",3995,7122.6333
"2018-01-02 19:12:19","2018-05-31 18:52:06","64.253.150.187",1575,7099.1833
"2018-01-02 17:19:40","2018-05-31 18:34:43","96.55.36.91",2918,7088.1667
"2018-01-02 13:42:33","2018-05-31 17:27:33","142.163.202.82",1578,7080.7500
"2018-01-02 13:48:46","2018-05-31 19:31:27","72.38.217.197",5348,7075.6000
"2018-01-02 14:52:25","2018-05-31 19:25:37","173.167.177.149",4253,6956.1167
"2018-01-03 16:16:28","2018-04-20 17:12:39","99.229.196.156",726,6921.0667
"2018-01-02 17:23:14","2018-05-31 18:53:09","207.216.147.38",811,6825.3167
"2018-01-02 17:28:20","2018-05-31 17:04:02","72.2.54.198",646,6806.8167
"2018-01-02 14:22:18","2018-05-31 19:11:26","99.249.77.215",997,6696.5500
"2018-01-02 16:47:27","2018-05-31 18:54:43","75.159.246.217",2203,6595.6500
"2018-02-28 17:03:03","2018-05-31 18:19:40","50.98.103.120",1380,6499.6000
"2018-01-01 00:20:26","2018-04-14 12:59:21","154.20.175.62",1154,6496.9000
"2018-01-02 18:24:30","2018-05-04 21:41:48","99.233.66.75",3377,6458.4500
"2018-01-02 17:47:42","2018-04-18 21:46:43","184.71.186.110",3148,6444.7833
"2018-01-02 16:21:55","2018-05-31 19:16:18","64.56.146.119",2289,6437.5167
"2018-01-02 15:15:16","2018-05-31 19:28:32","192.186.117.118",2963,6421.9667
"2018-01-02 17:56:50","2018-05-31 19:08:04","174.7.237.129",2269,6408.0000
"2018-01-02 14:28:35","2018-05-31 18:45:23","50.249.31.21",3596,6391.7833
"2018-01-02 20:45:53","2018-05-31 18:00:21","98.172.65.51",839,6327.4333
"2018-01-04 21:09:03","2018-03-24 19:08:19","75.41.116.218",3238,6313.8833
"2018-01-02 17:10:24","2018-05-31 18:25:35","184.68.27.198",3944,6215.7500
"2018-01-04 14:12:48","2018-05-31 19:18:05","99.233.42.88",1711,6159.3833
"2018-01-02 13:07:22","2018-05-31 19:25:17","192.186.87.102",2810,6084.6667
"2018-01-01 02:55:23","2018-05-14 16:38:36","50.115.187.250",2656,6061.9333
"2018-01-02 17:32:48","2018-05-31 19:07:27","108.180.240.103",2583,5988.1333
"2018-01-02 12:32:58","2018-05-31 18:56:16","209.15.222.227",3884,5954.2167
"2018-01-02 14:06:06","2018-05-31 16:47:24","64.140.119.160",2756,5898.7333
"2018-01-02 14:40:23","2018-05-31 19:15:00","173.231.124.233",1521,5837.8000
"2018-01-02 15:51:53","2018-03-06 20:25:20","184.71.148.130",3746,5784.3167
"2018-01-10 19:17:24","2018-05-31 18:43:35","173.239.137.66",305,5781.7333
"2018-01-02 14:08:53","2018-05-31 18:46:19","162.255.112.51",2371,5710.6667
"2018-02-13 13:53:14","2018-04-18 21:04:17","24.50.186.19",3720,5706.9833
"2018-01-02 22:09:48","2018-05-31 18:35:52","66.183.147.52",583,5629.3000
"2018-01-02 19:01:15","2018-05-30 22:17:15","184.70.95.98",687,5502.9667
"2018-01-02 22:27:28","2018-05-01 15:43:53","174.114.19.68",5698,5498.7000
"2018-01-31 21:38:16","2018-05-31 19:28:02","192.234.198.194",3594,5488.5667
"2018-01-02 19:31:50","2018-05-31 19:00:36","23.16.33.11",1292,5427.5333
"2018-01-02 12:30:00","2018-05-31 17:22:43","209.15.238.187",1512,5415.3000
"2018-01-05 18:32:10","2018-04-18 21:16:46","24.80.145.175",3347,5403.3667
"2018-01-04 00:22:49","2018-05-31 17:00:44","184.66.55.251",325,5385.8333
"2018-01-02 17:43:17","2018-05-31 17:45:49","70.36.63.18",1384,5360.4167
