"id_sensor","subsriber_reg_ip","cloudpbx__reg_ip"
501,410134078,3227975249
501,410134082,3227975248
501,410134095,3227975249
502,410134126,3227975248
501,410134146,3227975249
501,410134161,3227975249
801,410134161,3227975504
501,410134177,3227975249
501,410134184,3227975248
801,410134226,3227975504
902,410134276,1654599249
502,410134288,3227975249
501,410134293,3227975249
501,410134308,3227975248
502,410134338,3227975249
501,410134351,3227975248
801,410134378,3227975505
501,410134397,3227975248
501,410134405,3227975249
501,410134444,3227975249
501,410134487,3227975249
501,410134507,3227975248
801,410134544,3227975504
801,410134549,3227975504
501,410134579,3227975248
501,410134606,3227975249
502,410134634,3227975249
501,410134644,3227975249
501,410134708,3227975248
501,410134722,3227975249
501,410134789,3227975248
801,410134789,3227975505
502,410134810,3227975248
501,410134856,3227975248
501,410134866,3227975249
501,410134871,3227975248
801,410134871,3227975505
501,410134873,3227975249
502,410134892,3227975249
502,410134901,3227975248
801,410134903,3227975504
501,410134946,3227975248
501,410134957,3227975249
502,410134979,3227975249
501,410134990,3227975249
501,410135021,3227975249
501,410135145,3227975249
501,410135179,3227975249
501,410135255,3227975249
501,410135328,3227975249
502,410135382,3227975248
501,410135422,3227975249
501,410135451,3227975249
501,410135463,3227975249
502,410135464,3227975249
501,410135494,3227975249
501,410135532,3227975249
501,410135550,3227975249
501,410135570,3227975249
501,410135586,3227975248
501,410135682,3227975248
502,410135696,3227975249
801,410135717,3227975504
902,410135738,1654599248
501,410135738,3227975248
801,410135738,3227975505
501,410135777,3227975248
501,410135792,3227975249
501,410135794,3227975249
501,410135811,3227975248
501,410135816,3227975249
501,410135848,3227975249
801,410135857,3227975505
501,410135861,3227975249
501,410135966,3227975248
501,410136051,3227975249
801,410136611,3227975505
801,410137292,3227975504
902,410137511,1654599248
801,410137522,3227975504
801,410137873,3227975505
902,410138042,1654599248
502,410138062,3227975249
501,410138166,3227975248
801,410138220,3227975504
902,410138264,1654599248
24,410138473,1654599248
801,410138473,3227975505
24,410138555,1654599249
902,410138607,1654599248
902,410139280,1654599248
902,410139493,1654599248
902,410139508,1654599248
501,410139550,3227975248
801,410139649,3227975504
902,410139661,1654599249
802,410139661,3227975504
801,410139678,3227975504
801,410139682,3227975504
902,410139697,1654599249
801,410139701,3227975504
801,410139702,3227975504
801,410139706,3227975504
801,410139707,3227975504
801,410139714,3227975504
801,410139716,3227975504
902,410139730,1654599249
801,410139740,3227975504
902,410139745,1654599249
801,410139756,3227975504
801,410139795,3227975504
801,410139800,3227975504
801,410139819,3227975504
801,410139821,3227975504
902,410139829,1654599249
902,410139848,1654599249
801,410139865,3227975504
801,410139870,3227975504
801,410139879,3227975504
801,410139882,3227975504
902,410139891,1654599249
801,410139897,3227975504
801,410139900,3227975504
801,410139904,3227975504
801,410139938,3227975504
801,410139942,3227975504
801,410139950,3227975504
801,410139958,3227975504
801,410139968,3227975504
801,410139972,3227975504
801,410139981,3227975504
802,410139988,3227975504
802,410139991,3227975504
801,410140007,3227975504
801,410140010,3227975504
902,410140014,1654599249
801,410140026,3227975504
902,410140040,1654599249
801,410140042,3227975504
902,410140056,1654599249
801,410140057,3227975504
902,410140061,1654599249
801,410140063,3227975504
801,410140078,3227975504
801,410140085,3227975504
902,410140088,1654599249
801,410140088,3227975504
902,410140097,1654599249
801,410140113,3227975504
801,410140123,3227975504
902,410140130,1654599249
802,410140150,3227975504
801,410140156,3227975504
801,410140173,3227975504
801,410140230,3227975504
801,410140234,3227975504
902,410140310,1654599249
802,410140312,3227975504
801,410140324,3227975504
902,410140335,1654599249
801,410140345,3227975504
902,410140396,1654599249
801,410140416,3227975504
