,,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_asip,b_saddr_asn,b_saddr_asorg,b_saddr_asip
64489868,2018-01-01,3227975506,405972958,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.167.222
74962691,2018-04-19,3227975507,405973258,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.10
75002780,2018-04-19,3227975506,405973258,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.10
75529726,2018-04-24,1654599250,405973258,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.169.10
67905716,2018-02-12,3227975506,405973273,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.25
67907373,2018-02-12,3227975507,405973273,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.25
75261552,2018-04-23,1654599250,405973273,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.169.25
71407259,2018-03-15,3227975507,405973363,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.115
71412182,2018-03-15,3227975506,405973363,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.115
64556326,2018-01-02,3227975506,405973365,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.117
64566723,2018-01-02,3227975251,405973365,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.169.117
64676986,2018-01-03,3227975507,405973365,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.117
64846857,2018-01-05,3227975250,405973365,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.169.117
66120597,2018-01-23,1654599251,405973365,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.169.117
73161374,2018-04-02,3227975507,405973449,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.169.201
73162694,2018-04-02,3227975506,405973449,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.169.201
73252112,2018-04-03,3227975251,405973449,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.169.201
73685336,2018-04-06,3227975250,405973449,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.169.201
78450684,2018-05-28,3227975507,405973572,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.68
78473410,2018-05-28,3227975506,405973572,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.68
74715689,2018-04-17,3227975507,405973577,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.73
74723166,2018-04-17,3227975506,405973577,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.73
65897129,2018-01-19,3227975506,405973597,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.93
66009701,2018-01-22,3227975507,405973597,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.93
71887543,2018-03-20,3227975506,405973628,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.124
71950688,2018-03-20,3227975507,405973628,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.124
72175509,2018-03-21,3227975250,405973628,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.170.124
65045609,2018-01-09,3227975506,405973636,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.132
65149905,2018-01-10,3227975507,405973636,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.132
64613796,2018-01-03,3227975506,405973695,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.191
64619522,2018-01-03,3227975507,405973695,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.191
70132699,2018-03-05,3227975507,405973726,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.222
70712291,2018-03-09,3227975506,405973726,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.222
73071658,2018-03-31,3227975507,405973727,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.223
73277904,2018-04-03,3227975506,405973727,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.223
72063372,2018-03-21,3227975507,405973728,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.170.224
72475926,2018-03-26,3227975506,405973728,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.170.224
78723480,2018-05-31,3227975507,405973897,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.171.137
71044260,2018-03-13,3227975506,405973956,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.171.196
71070266,2018-03-13,3227975507,405973956,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.171.196
78126591,2018-05-23,1654599251,405974021,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.172.5
78128023,2018-05-23,3227975251,405974021,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.172.5
78134025,2018-05-23,3227975250,405974021,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.172.5
78152263,2018-05-23,1654599250,405974021,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.172.5
78232410,2018-05-24,3227975506,405974021,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.172.5
78232799,2018-05-24,3227975507,405974021,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.172.5
64491922,2018-01-01,3227975507,405974225,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.172.209
64492706,2018-01-01,3227975506,405974225,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.172.209
78719707,2018-05-31,3227975506,405974299,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.173.27
78745059,2018-05-31,3227975507,405974299,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.173.27
77735887,2018-05-16,3227975507,405974330,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.173.58
77746175,2018-05-16,3227975506,405974330,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.173.58
78128132,2018-05-23,3227975251,405974330,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.173.58
78136639,2018-05-23,3227975250,405974330,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.173.58
78144006,2018-05-23,1654599250,405974330,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.173.58
78161226,2018-05-23,1654599251,405974330,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.173.58
65139973,2018-01-10,3227975506,405974384,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.173.112
65155265,2018-01-10,3227975507,405974384,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.173.112
76631905,2018-05-04,3227975506,405974387,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.173.115
76652927,2018-05-05,3227975507,405974387,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.173.115
78126438,2018-05-23,1654599251,405974387,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.173.115
78133721,2018-05-23,3227975251,405974387,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.173.115
78170886,2018-05-23,1654599250,405974387,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.173.115
78175174,2018-05-23,3227975250,405974387,395152,CloudPBX,192.102.254.82,40788,Start Communications,24.50.173.115
77829309,2018-05-17,3227975507,405974442,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.173.170
77846290,2018-05-17,3227975506,405974442,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.173.170
78134793,2018-05-23,3227975251,405974442,395152,CloudPBX,192.102.254.83,40788,Start Communications,24.50.173.170
78169491,2018-05-23,1654599250,405974442,395766,CloudPBX,98.159.46.82,40788,Start Communications,24.50.173.170
78182200,2018-05-23,1654599251,405974442,395766,CloudPBX,98.159.46.83,40788,Start Communications,24.50.173.170
76724452,2018-05-07,3227975506,405974558,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.174.30
76727626,2018-05-07,3227975507,405974558,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.174.30
73533057,2018-04-05,3227975507,405974810,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.175.26
73536298,2018-04-05,3227975506,405974810,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.175.26
78533965,2018-05-29,3227975507,405974844,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.175.60
78539829,2018-05-29,3227975506,405974844,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.175.60
78060510,2018-05-22,3227975506,405974866,393755,CloudPBX,192.102.255.82,40788,Start Communications,24.50.175.82
78114914,2018-05-23,3227975507,405974866,393755,CloudPBX,192.102.255.83,40788,Start Communications,24.50.175.82
