,a_saddr,b_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_as_ip,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_as_ip,b_saddr_lat,b_saddr_long,send_A
617,3463715872,3227975251,852,TELUS Communications Inc.,206.116.28.32,49.3615,-123.2627,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
621,3463713115,3227975250,852,TELUS Communications Inc.,206.116.17.91,43.6319,-79.3716,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
624,1090360654,3227975250,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
658,3350650146,3227975251,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
664,1090360654,3227975251,19171,Stargate Connections Inc.,64.253.149.78,49.2866,-123.1158,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
676,3350650150,3227975251,19171,Stargate Connections Inc.,199.182.221.38,49.2478,-122.9938,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
677,3227975251,3350650146,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,19171,Stargate Connections Inc.,199.182.221.34,49.2478,-122.9938,False
687,3227975250,3463713115,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,852,TELUS Communications Inc.,206.116.17.91,43.6319,-79.3716,False
766,3227975251,1178985642,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,6327,Shaw Communications Inc.,70.69.228.170,49.2068,-122.4851,False
775,2393257217,1654599251,855,Bell Canada,142.166.53.1,47.5334,-52.7595,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,True
806,2919736882,3227975251,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
810,3473289373,3227975251,852,TELUS Communications Inc.,207.6.48.157,49.2666,-123.1976,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,True
880,1674006569,3227975250,852,TELUS Communications Inc.,99.199.80.41,49.3397,-123.1912,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,True
899,3227975250,2919736882,395152,CloudPBX,192.102.254.82,43.6319,-79.3716,6327,Shaw Communications Inc.,174.7.166.50,49.299,-123.1408,False
958,3227975506,1664327376,393755,CloudPBX,192.102.255.82,43.6319,-79.3716,7018,"AT&T Services, Inc.",99.51.158.208,42.586,-83.5006,False
961,3227975251,1268517701,395152,CloudPBX,192.102.254.83,43.6319,-79.3716,852,TELUS Communications Inc.,75.156.11.69,49.2492,-123.1104,False
994,1654599251,417208700,395766,CloudPBX,98.159.46.83,40.7432,-75.2242,11260,EastLink,24.222.25.124,45.2,-64.1167,False
