,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
11775,3492161874,852,TELUS Communications Inc.,51.0242,-114.1004,3227975250,395152,CloudPBX,43.6319,-79.3716
11781,3227975250,395152,CloudPBX,43.6319,-79.3716,3492161874,852,TELUS Communications Inc.,51.0242,-114.1004
12206,1244849474,14007,Skyway West,49.316,-123.0576,3227975250,395152,CloudPBX,43.6319,-79.3716
12211,3227975250,395152,CloudPBX,43.6319,-79.3716,1244849474,14007,Skyway West,49.316,-123.0576
12353,3227975250,395152,CloudPBX,43.6319,-79.3716,412233259,7992,Cogeco Cable,44.9001,-76.2494
12581,3512424079,852,TELUS Communications Inc.,53.585,-113.5526,3227975250,395152,CloudPBX,43.6319,-79.3716
12590,3227975251,395152,CloudPBX,43.6319,-79.3716,3091461651,6327,Shaw Communications Inc.,49.1285,-122.6236
12627,3227975251,395152,CloudPBX,43.6319,-79.3716,3640368787,14007,Skyway West,49.2807,-123.0397
12991,3227975251,395152,CloudPBX,43.6319,-79.3716,3475125993,6171,WorldGate,53.4154,-113.4178
13872,3236611778,14007,Skyway West,49.222,-123.0683,3227975250,395152,CloudPBX,43.6319,-79.3716
14326,1208104646,6327,Shaw Communications Inc.,49.0997,-122.6526,3227975251,395152,CloudPBX,43.6319,-79.3716
14416,845316559,852,TELUS Communications Inc.,49.0423,-122.2835,3227975250,395152,CloudPBX,43.6319,-79.3716
14521,3227975251,395152,CloudPBX,43.6319,-79.3716,1150482625,6327,Shaw Communications Inc.,51.0419,-114.2
15464,3497430254,19171,Stargate Connections Inc.,49.2788,-123.1139,3227975251,395152,CloudPBX,43.6319,-79.3716
16194,3227975251,395152,CloudPBX,43.6319,-79.3716,3492161874,852,TELUS Communications Inc.,51.0242,-114.1004
16287,1150482625,6327,Shaw Communications Inc.,51.0419,-114.2,3227975251,395152,CloudPBX,43.6319,-79.3716
17083,3492161874,852,TELUS Communications Inc.,51.0242,-114.1004,3227975251,395152,CloudPBX,43.6319,-79.3716
17494,1077449335,15102,WiBand Communications,53.4179,-113.5785,3227975250,395152,CloudPBX,43.6319,-79.3716
17513,1676935419,812,Rogers Communications Canada Inc.,43.0614,-80.9943,3227975251,395152,CloudPBX,43.6319,-79.3716
17593,3227975251,395152,CloudPBX,43.6319,-79.3716,845316559,852,TELUS Communications Inc.,49.0423,-122.2835
17695,3236611778,14007,Skyway West,49.222,-123.0683,3227975251,395152,CloudPBX,43.6319,-79.3716
17697,3227975251,395152,CloudPBX,43.6319,-79.3716,3236611778,14007,Skyway West,49.222,-123.0683
17718,2675364373,11492,"Cable One, Inc.",30.4672,-89.2763,3227975250,395152,CloudPBX,43.6319,-79.3716
17867,3227975250,395152,CloudPBX,43.6319,-79.3716,2675364373,11492,"Cable One, Inc.",30.4672,-89.2763
17955,2892906962,15290,Allstream Corp.,43.6655,-79.4204,3227975251,395152,CloudPBX,43.6319,-79.3716
17995,3227975251,395152,CloudPBX,43.6319,-79.3716,1244849474,14007,Skyway West,49.316,-123.0576
18223,3227975250,395152,CloudPBX,43.6319,-79.3716,3512424079,852,TELUS Communications Inc.,53.585,-113.5526
18293,3091427666,6327,Shaw Communications Inc.,49.2167,-122.9167,3227975250,395152,CloudPBX,43.6319,-79.3716
18444,3227975251,395152,CloudPBX,43.6319,-79.3716,3512424079,852,TELUS Communications Inc.,53.585,-113.5526
18530,1268596475,852,TELUS Communications Inc.,49.0384,-122.3485,3227975250,395152,CloudPBX,43.6319,-79.3716
18571,3227975250,395152,CloudPBX,43.6319,-79.3716,3236611778,14007,Skyway West,49.222,-123.0683
18572,1178711303,6327,Shaw Communications Inc.,49.6511,-112.8351,3227975250,395152,CloudPBX,43.6319,-79.3716
19096,3475125993,6171,WorldGate,53.4154,-113.4178,3227975250,395152,CloudPBX,43.6319,-79.3716
19711,407950571,6327,Shaw Communications Inc.,49.2788,-123.1139,3227975250,395152,CloudPBX,43.6319,-79.3716
19808,3487047224,852,TELUS Communications Inc.,49.2788,-123.1139,3227975250,395152,CloudPBX,43.6319,-79.3716
19894,1244849474,14007,Skyway West,49.316,-123.0576,3227975251,395152,CloudPBX,43.6319,-79.3716
20102,3227975251,395152,CloudPBX,43.6319,-79.3716,1090360462,19171,Stargate Connections Inc.,49.2866,-123.1158
20350,1077449335,15102,WiBand Communications,53.4179,-113.5785,3227975251,395152,CloudPBX,43.6319,-79.3716
20695,1268596475,852,TELUS Communications Inc.,49.0384,-122.3485,3227975251,395152,CloudPBX,43.6319,-79.3716
