,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
6028,1675902784,812,Rogers Communications Canada Inc.,43.8582,-79.3985,1654599250,395766,CloudPBX,40.7432,-75.2242
6083,1654599250,395766,CloudPBX,40.7432,-75.2242,2393314965,855,Bell Canada,47.5194,-52.8122
6105,1677535485,812,Rogers Communications Canada Inc.,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
6394,1654599250,395766,CloudPBX,40.7432,-75.2242,3514831954,855,Bell Canada,47.5167,-52.7833
6579,1654599251,395766,CloudPBX,40.7432,-75.2242,1096686281,577,Bell Canada,46.7749,-71.3344
6591,3480447027,11478,Openface Inc.,45.4805,-73.5554,1654599251,395766,CloudPBX,40.7432,-75.2242
6718,3626900266,11478,Openface Inc.,45.47,-73.6686,1654599251,395766,CloudPBX,40.7432,-75.2242
6773,1826039003,7018,"AT&T Services, Inc.",39.7838,-86.0477,1654599251,395766,CloudPBX,40.7432,-75.2242
6871,3345303600,14007,Skyway West,43.623,-79.3936,1654599250,395766,CloudPBX,40.7432,-75.2242
6872,1654599250,395766,CloudPBX,40.7432,-75.2242,3345303600,14007,Skyway West,43.623,-79.3936
6877,3638379076,7992,Cogeco Cable,42.9888,-82.3592,1654599250,395766,CloudPBX,40.7432,-75.2242
6945,2394021867,855,Bell Canada,45.0691,-64.4696,1654599250,395766,CloudPBX,40.7432,-75.2242
7038,3507478250,13768,Cogeco Peer 1,43.6021,-79.5402,1654599250,395766,CloudPBX,40.7432,-75.2242
7057,855010549,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,1654599250,395766,CloudPBX,40.7432,-75.2242
7471,1675902784,812,Rogers Communications Canada Inc.,43.8582,-79.3985,1654599251,395766,CloudPBX,40.7432,-75.2242
7492,2886637142,7018,"AT&T Services, Inc.",39.8227,-86.145,1654599250,395766,CloudPBX,40.7432,-75.2242
7549,1654599250,395766,CloudPBX,40.7432,-75.2242,2393098834,855,Bell Canada,47.5124,-52.6729
7552,1632556726,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,1654599250,395766,CloudPBX,40.7432,-75.2242
7657,1745809577,7018,"AT&T Services, Inc.",39.8686,-86.1003,1654599251,395766,CloudPBX,40.7432,-75.2242
7736,2393249330,855,Bell Canada,47.5124,-52.6729,1654599251,395766,CloudPBX,40.7432,-75.2242
7824,1654599251,395766,CloudPBX,40.7432,-75.2242,2393098834,855,Bell Canada,47.5124,-52.6729
7852,1654599250,395766,CloudPBX,40.7432,-75.2242,2394021867,855,Bell Canada,45.0691,-64.4696
7932,1676918269,812,Rogers Communications Canada Inc.,43.0443,-81.2391,1654599250,395766,CloudPBX,40.7432,-75.2242
8577,1255890618,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,1654599250,395766,CloudPBX,40.7432,-75.2242
8719,1745809577,7018,"AT&T Services, Inc.",39.8686,-86.1003,1654599250,395766,CloudPBX,40.7432,-75.2242
9227,1654599251,395766,CloudPBX,40.7432,-75.2242,3638379076,7992,Cogeco Cable,42.9888,-82.3592
9237,1179661323,5769,Videotron Telecom Ltee,45.5354,-73.6061,1654599250,395766,CloudPBX,40.7432,-75.2242
9290,1654599250,395766,CloudPBX,40.7432,-75.2242,1818172010,7018,"AT&T Services, Inc.",42.5038,-83.4764
9582,855187221,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199,1654599250,395766,CloudPBX,40.7432,-75.2242
9761,1654599250,395766,CloudPBX,40.7432,-75.2242,1611994918,5769,Videotron Telecom Ltee,46.8287,-71.334
10014,1654599251,395766,CloudPBX,40.7432,-75.2242,3480447026,11478,Openface Inc.,45.4805,-73.5554
10167,215430723,7018,"AT&T Services, Inc.",37.751,-97.822,1654599251,395766,CloudPBX,40.7432,-75.2242
10194,411891757,40788,Start Communications,42.9888,-82.3592,1654599250,395766,CloudPBX,40.7432,-75.2242
10307,1654599251,395766,CloudPBX,40.7432,-75.2242,3626900266,11478,Openface Inc.,45.47,-73.6686
10711,3480447027,11478,Openface Inc.,45.4805,-73.5554,1654599250,395766,CloudPBX,40.7432,-75.2242
11101,410719962,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,1654599250,395766,CloudPBX,40.7432,-75.2242
11292,1677535485,812,Rogers Communications Canada Inc.,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
11738,3507478250,13768,Cogeco Peer 1,43.6021,-79.5402,1654599251,395766,CloudPBX,40.7432,-75.2242
11882,409640138,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,1654599250,395766,CloudPBX,40.7432,-75.2242
12057,2886637142,7018,"AT&T Services, Inc.",39.8227,-86.145,1654599251,395766,CloudPBX,40.7432,-75.2242
13067,409640138,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977,1654599251,395766,CloudPBX,40.7432,-75.2242
13672,2393257217,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
13839,1210458660,7992,Cogeco Cable,42.9062,-82.11,1654599250,395766,CloudPBX,40.7432,-75.2242
13948,215430723,7018,"AT&T Services, Inc.",37.751,-97.822,1654599250,395766,CloudPBX,40.7432,-75.2242
14088,405133426,5769,Videotron Telecom Ltee,45.5394,-73.6513,1654599251,395766,CloudPBX,40.7432,-75.2242
14214,1654599251,395766,CloudPBX,40.7432,-75.2242,409640138,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977
14217,1745054491,7018,"AT&T Services, Inc.",39.7132,-86.2617,1654599251,395766,CloudPBX,40.7432,-75.2242
14247,410720570,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804,1654599251,395766,CloudPBX,40.7432,-75.2242
14351,1663736670,7018,"AT&T Services, Inc.",37.751,-97.822,1654599250,395766,CloudPBX,40.7432,-75.2242
14661,1632556726,33363,"BRIGHT HOUSE NETWORKS, LLC",39.7851,-86.1665,1654599251,395766,CloudPBX,40.7432,-75.2242
14931,2730633589,7018,"AT&T Services, Inc.",39.8512,-86.2651,1654599251,395766,CloudPBX,40.7432,-75.2242
14978,1616866354,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,1654599250,395766,CloudPBX,40.7432,-75.2242
15058,1826039003,7018,"AT&T Services, Inc.",39.7838,-86.0477,1654599250,395766,CloudPBX,40.7432,-75.2242
15370,1632558126,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,1654599251,395766,CloudPBX,40.7432,-75.2242
15463,2913448341,7922,"Comcast Cable Communications, LLC",41.8811,-87.8786,1654599251,395766,CloudPBX,40.7432,-75.2242
15696,2393314888,855,Bell Canada,47.5194,-52.8122,1654599250,395766,CloudPBX,40.7432,-75.2242
15760,2913448341,7922,"Comcast Cable Communications, LLC",41.8811,-87.8786,1654599250,395766,CloudPBX,40.7432,-75.2242
16195,2913448637,7922,"Comcast Cable Communications, LLC",37.751,-97.822,1654599250,395766,CloudPBX,40.7432,-75.2242
16358,1654599251,395766,CloudPBX,40.7432,-75.2242,3480447027,11478,Openface Inc.,45.4805,-73.5554
16382,1616866354,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,1654599251,395766,CloudPBX,40.7432,-75.2242
16588,1749006169,7018,"AT&T Services, Inc.",39.9738,-86.1765,1654599251,395766,CloudPBX,40.7432,-75.2242
16980,1654599251,395766,CloudPBX,40.7432,-75.2242,215430723,7018,"AT&T Services, Inc.",37.751,-97.822
17344,1210458660,7992,Cogeco Cable,42.9062,-82.11,1654599251,395766,CloudPBX,40.7432,-75.2242
17361,1654599250,395766,CloudPBX,40.7432,-75.2242,3480447026,11478,Openface Inc.,45.4805,-73.5554
17554,851532189,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443,1654599250,395766,CloudPBX,40.7432,-75.2242
17762,2913448637,7922,"Comcast Cable Communications, LLC",37.751,-97.822,1654599251,395766,CloudPBX,40.7432,-75.2242
17775,855009785,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,1654599251,395766,CloudPBX,40.7432,-75.2242
17913,2393257102,855,Bell Canada,47.5334,-52.7595,1654599250,395766,CloudPBX,40.7432,-75.2242
17983,855009785,7922,"Comcast Cable Communications, LLC",38.9057,-76.9783,1654599250,395766,CloudPBX,40.7432,-75.2242
18736,855405977,7922,"Comcast Cable Communications, LLC",41.7195,-86.2064,1654599251,395766,CloudPBX,40.7432,-75.2242
18903,1654599251,395766,CloudPBX,40.7432,-75.2242,2393257380,855,Bell Canada,47.5334,-52.7595
19126,1654599250,395766,CloudPBX,40.7432,-75.2242,2730633589,7018,"AT&T Services, Inc.",39.8512,-86.2651
19133,2393257102,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
19183,1654599251,395766,CloudPBX,40.7432,-75.2242,1668866301,7018,"AT&T Services, Inc.",42.5038,-83.4764
19559,851532189,7922,"Comcast Cable Communications, LLC",42.2639,-88.8443,1654599251,395766,CloudPBX,40.7432,-75.2242
19712,1229012093,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832,1654599250,395766,CloudPBX,40.7432,-75.2242
19713,1654599250,395766,CloudPBX,40.7432,-75.2242,215430723,7018,"AT&T Services, Inc.",37.751,-97.822
19760,1676003536,812,Rogers Communications Canada Inc.,43.6572,-79.3783,1654599251,395766,CloudPBX,40.7432,-75.2242
21039,1654599250,395766,CloudPBX,40.7432,-75.2242,1675902784,812,Rogers Communications Canada Inc.,43.8582,-79.3985
21099,2913301853,7922,"Comcast Cable Communications, LLC",37.751,-97.822,1654599251,395766,CloudPBX,40.7432,-75.2242
